#{"t_start": 1614890034.0310314, "env_id": null}
r,l,t
-1.556541,15,81.161117
-0.148081,4,102.703123
0.856744,18,211.194776
-0.144896,5,245.184462
1.241199,15,336.41365
-8.51469,24,481.973898
3.340738,21,602.204111
0.720448,48,887.184711
0.582941,9,939.4227
-0.635213,17,1041.986474
4.731273,34,1254.384131
-2.789634,44,1509.786794
-7.676679,23,1643.647305
-7.810148,28,1810.070167
5.132421,34,2014.588156
-4.83087,20,2127.022578
-1.225989,5,2157.793462
1.203407,22,2296.177712
-7.840647,51,2601.022189
-9.861482,33,2803.439454
-5.667859,24,2944.810175
-6.123473,21,3077.99003
-8.868258,25,3231.149786
-6.789756,23,3357.030249
-7.138651,24,3489.425222
-5.188982,22,3612.465095
-2.005228,20,3734.501715
-1.216443,23,3857.564476
-7.973467,29,4019.836063
-3.228969,16,4109.018202
-5.388326,17,4203.59171
-1.529689,4,4228.274359
1.599656,15,4324.390469
3.077331,21,4444.934577
-0.165438,10,4501.220698
-1.373791,13,4574.643903
-2.948677,17,4669.863308
-0.017625,16,4756.622028
-0.039903,11,4814.72471
1.425953,18,4916.361637
-0.006491,2,4927.165823
0.297009,13,4996.990317
-0.471213,14,5070.704375
0.15442,13,5138.189384
0.37442,13,5205.962058
-1.550711,19,5304.469072
0.57442,13,5372.36034
-3.245851,19,5472.077799
-4.383841,17,5565.750524
-4.760944,16,5650.313832
-4.322581,17,5739.613902
-4.358825,16,5823.270902
-6.638523,14,5897.464633
-9.163303,20,6006.228566
-6.509942,15,6095.565275
-5.031134,29,6248.916026
-2.691003,19,6352.495173
-1.604192,8,6394.505871
-4.504246,19,6493.788427
-3.688582,12,6557.512261
-1.034263,9,6606.791031
-1.543823,8,6652.516708
-3.164456,7,6691.189873
-2.939028,7,6734.554286
-1.439959,7,6772.268981
-2.278783,5,6799.454118
-2.276811,5,6827.870021
-2.271749,5,6855.643132
-2.312984,5,6882.992141
-2.310308,5,6912.713736
-2.310308,5,6940.07535
-2.306975,5,6967.335777
-2.311419,5,6995.964193
-2.313642,5,7023.699204
-2.308876,5,7050.513945
-2.301262,5,7078.767818
-2.303766,5,7107.017375
-2.892358,7,7144.214636
-3.036819,7,7180.970337
-2.302741,5,7209.125342
-2.809594,7,7248.153447
-2.783642,8,7290.424429
-2.543338,9,7345.407661
-3.060215,7,7384.101153
-3.076882,7,7421.363552
-2.576882,7,7458.086659
-2.20041,5,7485.000128
-1.602807,6,7516.60776
-1.964192,7,7556.672676
-0.513351,6,7588.313195
-1.507435,6,7620.264125
-1.456303,5,7648.636345
-1.445908,6,7681.722087
-1.450352,6,7715.638892
-2.949877,8,7761.884664
-2.208649,10,7815.955392
-2.951928,8,7860.894748
-2.851908,7,7900.714231
-2.316957,5,7935.59682
-2.313642,5,7964.135455
-5.581996,12,8027.321183
-4.500669,12,8091.073372
-4.693951,11,8151.427619
-6.469203,20,8259.612777
-3.687942,13,8329.644922
0.189498,11,8389.780224
-3.411977,10,8446.42199
-2.213549,7,8485.818263
-2.576882,7,8529.283205
-2.576882,7,8566.823679
-2.826882,7,8603.382585
-2.189959,7,8640.442453
-1.939959,7,8677.289465
-1.185123,7,8714.316837
-2.169521,7,8751.416962
-2.538386,7,8789.758753
-2.842243,7,8828.242805
-2.892874,7,8867.006739
-2.182139,8,8911.771523
-2.275833,7,8950.233448
-2.644372,8,8994.200105
-1.95184,7,9030.837594
-2.831693,7,9067.923258
-3.121116,7,9105.417268
-3.164944,7,9158.783806
-3.248286,7,9197.302289
-2.334831,7,9236.520097
-3.001116,7,9273.823056
-3.081967,7,9311.666573
-2.723549,7,9349.435688
-2.689959,7,9387.061883
-1.939959,7,9423.771427
-1.401497,7,9460.613591
-2.856626,7,9497.296082
-2.563707,7,9534.029135
-2.533248,7,9570.800462
-2.539735,7,9609.167789
-2.56577,7,9649.789263
-2.663915,7,9687.85337
-2.634377,7,9732.839463
-1.656322,7,9770.0198
-1.974784,7,9806.779144
-1.344119,7,9843.864207
-1.736066,7,9880.483731
-2.439213,7,9917.596478
-2.566932,7,9955.139663
-2.769907,7,9991.745544
-1.358972,7,10029.362333
-1.661194,7,10067.249923
-1.357861,7,10104.123753
-2.597278,7,10144.848888
-2.632992,7,10185.363333
-2.331279,7,10224.748926
-2.20141,7,10265.450239
-2.272459,7,10303.217151
-2.425087,7,10343.705738
-2.160215,7,10380.373327
-2.776608,7,10417.731284
-2.987558,8,10460.275527
-2.628705,7,10500.033706
-2.560318,7,10539.811952
-2.452617,7,10581.416269
-2.39782,7,10622.408129
-2.921166,8,10667.313806
-2.371765,7,10705.128475
-2.205134,7,10743.357871
-2.639958,7,10782.925807
-2.376078,8,10826.302159
-3.276978,7,10867.038408
-3.166313,7,10906.199204
-3.117979,7,10953.203879
-3.040678,7,10992.872893
-2.836145,7,11030.70424
-2.356626,7,11067.376851
-2.380215,7,11105.296937
-1.484192,7,11142.623621
-1.984192,7,11179.761712
-0.847269,7,11216.505428
-1.073935,7,11253.296113
-2.162269,7,11290.104673
-2.503425,7,11326.958722
-2.228283,7,11368.191577
-3.040639,7,11405.896807
-3.05218,7,11446.291662
-3.150381,7,11485.570252
-3.187665,7,11525.42191
-3.708026,8,11579.862323
-3.289257,7,11617.78873
-3.219326,7,11660.154925
-3.622179,8,11703.152606
-2.522154,7,11741.040322
-2.665501,7,11781.870095
-2.645501,7,11822.799465
-2.132825,7,11859.868275
-1.944784,7,11898.764391
-2.974784,7,11935.333476
-1.676066,7,11972.43881
-1.134119,7,12009.813132
-1.89614,7,12046.896892
-3.253634,7,12086.010336
-2.244389,7,12124.828711
-2.122269,7,12167.829905
-2.360252,7,12204.726652
-2.636924,7,12243.127317
-2.680025,7,12281.538499
-2.478903,7,12320.40241
-1.881388,7,12357.75888
-2.034822,7,12395.380961
-1.780933,7,12432.361403
-2.663987,7,12470.986195
-1.718237,7,12509.944158
-2.560602,7,12546.769821
-2.721005,7,12586.040398
-2.700828,7,12625.536803
-2.781678,7,12663.222528
-2.748226,7,12704.795467
-2.720032,7,12753.5936
-2.633525,7,12797.138397
-2.570504,7,12835.88603
-2.6424,7,12873.578391
-2.597215,7,12910.970497
-2.75817,7,12950.918999
-2.543623,7,12989.620286
-1.749063,7,13026.942266
-2.454988,7,13063.729263
-2.685737,7,13104.144555
-2.277856,7,13143.882046
-2.440038,7,13183.615162
-2.504269,7,13222.137416
-2.705078,7,13260.442956
-3.182555,7,13300.456272
-1.503631,6,13334.242469
-3.246293,7,13380.674604
-3.276463,7,13419.74862
-2.858132,7,13456.793181
-2.479959,7,13494.262329
-1.984831,7,13530.980846
-3.186441,7,13568.854683
-3.221537,7,13606.727277
-3.589999,9,13654.996237
-1.959959,7,13691.828735
-3.231973,7,13729.056258
-2.312848,7,13768.844724
-1.818315,5,13795.744672
-1.815684,5,13824.966982
-1.808518,5,13853.267268
-2.72732,7,13895.699488
-2.68726,7,13937.405078
-2.707688,7,13986.299052
-1.799267,5,14014.719063
-2.758808,7,14054.065753
-2.654076,7,14092.541345
-2.529513,7,14129.912338
-2.139769,7,14166.961702
-2.013102,7,14203.833915
-2.477131,7,14242.32957
-2.554054,7,14282.093412
-2.2904,7,14320.685684
-2.52533,7,14359.180005
-2.611384,7,14398.833352
-3.067883,7,14437.811003
-3.320692,7,14477.775053
-2.990343,7,14517.043631
-3.076882,7,14556.945634
-1.929023,7,14601.300015
-3.083268,7,14639.765348
-3.325441,7,14678.506667
-3.26701,7,14716.193143
-3.496416,8,14760.40711
-2.742839,7,14800.514589
-3.752832,8,14843.772865
-3.682758,8,14888.402565
-3.313223,7,14926.883239
-4.101687,9,14975.345104
-3.354285,7,15016.610973
-3.200481,7,15055.25937
-3.262115,7,15095.079979
-2.628297,7,15134.075554
-2.649474,7,15189.046152
-2.780065,9,15239.047799
-2.71798,7,15277.898999
-2.627106,7,15318.673878
-3.246949,7,15355.553977
-3.292258,7,15392.871747
-4.190015,9,15441.88511
-3.209664,7,15480.484147
-3.181022,7,15518.74554
-3.260072,7,15557.487368
-3.195882,7,15597.100981
-3.197686,7,15634.795177
-3.728148,8,15678.829142
-3.1733,7,15720.853838
-2.665056,7,15761.207019
-2.631104,7,15810.730386
-2.670731,7,15848.95473
-2.96322,7,15887.990908
-2.66408,7,15926.973522
-2.686586,7,15964.505953
-2.746413,7,16002.923548
-3.279344,9,16054.350478
-2.554135,7,16094.120239
-2.669337,7,16132.167737
-2.300025,7,16170.487943
-2.607501,7,16207.574161
-3.270993,7,16247.108649
-3.223132,7,16287.092338
-3.255721,7,16327.310831
-3.295086,7,16368.45199
-3.254107,7,16414.054298
-3.254199,7,16453.848327
-3.162857,7,16492.137393
-2.581842,7,16530.305776
-2.635884,7,16569.212757
-2.489937,7,16608.642699
-2.380065,7,16646.982656
-2.342766,7,16685.716875
-1.984192,7,16723.737521
-1.984192,7,16760.735355
-2.694522,7,16797.751676
-2.862708,8,16840.838662
-2.740269,7,16881.514101
-3.048304,7,16923.342413
-2.56487,7,16961.704106
-1.484192,7,17003.183431
-1.847269,7,17040.057876
-2.689377,7,17078.940571
-2.650837,7,17116.249779
-2.727982,7,17156.360489
-2.72411,7,17197.762164
-2.738678,7,17235.315448
-2.734976,7,17274.36148
-3.012248,7,17312.760398
-2.546081,7,17353.22436
-2.752187,7,17391.445221
-2.738273,7,17431.802634
-2.62171,7,17470.456679
-2.699348,7,17512.713915
-2.63271,7,17558.79572
-2.863413,8,17607.744188
-2.670865,7,17647.974286
-3.002603,7,17686.34023
-2.651463,7,17724.557285
-2.724065,7,17764.005221
-3.089967,7,17802.43393
-2.743998,7,17843.153732
-2.743553,7,17881.687802
-2.715593,7,17919.873187
-2.726729,7,17959.289734
-2.730439,7,17997.098673
-2.710125,7,18036.902738
-2.457448,8,18081.259402
-2.704062,7,18122.435024
-2.733872,7,18161.359191
-3.275528,7,18205.348401
-3.251204,7,18243.11535
-3.336988,7,18283.223814
-3.348615,7,18322.258923
-3.340371,7,18363.864299
-3.715232,8,18408.508763
-3.323064,7,18445.949663
-3.10333,7,18484.78019
-2.750255,7,18525.043995
-2.59487,7,18564.077832
-2.64155,7,18602.449511
-2.635091,7,18642.390602
-2.738196,7,18681.713442
-3.324333,7,18722.225362
-3.333295,7,18760.483785
-3.787522,8,18814.453263
-3.308917,7,18853.295254
-2.715071,7,18892.02344
-2.721697,7,18932.268245
-2.727364,7,18970.866902
-2.709918,7,19008.545798
-2.610955,7,19046.761542
-2.725239,7,19084.57003
-2.627963,7,19122.675857
-2.78095,7,19160.341958
-3.341475,7,19200.208496
-3.288059,7,19238.796666
-3.683816,8,19283.185407
-3.207377,7,19323.014182
-3.226597,7,19360.950734
-3.253878,7,19399.565563
-2.71349,7,19445.271101
-2.672583,7,19483.518167
-3.552071,8,19526.181529
-2.713133,7,19564.376803
-2.718233,7,19602.411361
-2.75333,7,19642.141065
-2.683622,7,19681.149252
-2.656495,7,19720.466246
-2.594586,7,19758.991435
-2.673924,7,19797.173223
-2.854946,7,19836.57067
-2.897956,7,19876.599527
-2.980516,7,19914.087935
-2.986084,7,19953.430695
-2.955526,7,19991.824525
-2.951689,7,20033.049008
-2.983249,7,20074.536504
-2.749079,7,20113.355753
-3.489096,9,20162.226611
-2.713985,8,20205.407849
-2.755664,7,20243.626649
-2.88589,7,20282.907633
-3.329506,7,20322.499334
-3.297535,7,20360.021966
-2.890318,7,20399.237327
-2.703754,7,20437.653594
-2.745679,7,20476.764871
-2.752054,7,20515.150306
-2.744237,7,20555.098234
-2.733138,7,20595.806194
-2.739797,7,20643.792843
-2.718962,7,20682.747363
-2.958652,7,20722.111336
-3.783892,8,20764.710747
-4.258291,9,20814.485662
-2.731193,7,20853.651597
-2.74971,7,20893.752662
-2.710168,7,20932.461593
-2.719657,7,20971.238709
-2.713983,7,21013.165889
-2.68977,7,21050.618125
-2.701731,7,21091.144802
-2.726805,7,21130.764344
-2.723256,7,21173.030451
-2.714805,7,21217.135553
-2.705716,7,21261.16316
-2.722051,7,21300.200707
-2.729674,7,21339.787077
-2.842827,7,21378.910607
-3.261792,7,21417.348151
-2.710056,7,21456.812469
-2.74022,7,21496.513587
-2.721211,7,21536.420807
-2.712962,7,21574.6387
-2.722051,7,21613.412468
-2.746789,7,21654.203335
-2.810442,7,21693.507671
-3.329326,7,21732.832137
-3.344503,7,21772.09367
-3.229373,7,21812.583575
-3.294336,7,21856.480255
-3.316052,7,21896.183262
-3.345024,7,21936.389634
-3.336096,7,21975.999481
-3.328735,7,22016.53392
-3.322744,7,22056.101015
-3.331551,7,22093.830978
-2.711878,7,22133.022749
-2.730881,7,22172.534112
-2.726959,7,22210.326007
-2.708717,7,22249.515754
-2.747806,7,22290.473299
-2.705104,7,22332.996003
-2.714198,7,22374.297129
-2.723089,7,22413.075158
-2.691305,7,22459.901842
-2.742451,7,22500.168112
-2.893301,7,22540.266416
-3.325644,7,22579.711207
-3.316048,7,22619.028477
-3.338502,7,22658.317571
-3.354285,7,22697.405051
-3.665545,8,22740.837625
-3.334291,7,22782.333999
-3.329949,7,22821.978989
-3.199744,7,22860.130399
-2.70802,7,22899.545688
-2.725622,7,22941.118459
-2.703474,7,22980.017981
-2.729232,7,23018.595954
-2.726201,7,23062.090055
-2.728037,7,23103.214858
-2.810818,8,23147.590584
-2.98216,7,23186.46844
-3.347588,7,23225.894667
-3.314663,7,23265.431287
-3.305572,7,23304.309779
-3.331294,7,23342.347939
-3.327426,7,23381.427411
-3.463209,9,23434.031544
-2.739769,7,23473.751649
-2.750284,7,23511.88762
-3.294352,7,23553.109602
-3.346695,7,23593.132983
-3.761148,8,23639.901378
-3.331539,7,23684.455974
-3.342969,7,23724.190048
-3.823006,8,23771.693781
-3.2534,7,23811.652792
-2.699144,7,23850.311371
-2.703716,7,23887.411756
-3.152999,8,23930.637074
-2.733564,7,23968.781268
-2.729284,7,24007.764711
-2.753586,7,24047.334803
-2.744224,7,24087.461079
-2.75094,7,24130.322607
-3.348473,7,24171.370496
-3.357151,7,24216.980378
-3.346133,7,24262.891536
-3.331656,7,24300.348238
-3.333638,7,24339.733836
-3.796376,8,24385.244734
-3.35086,7,24425.292581
-3.337296,7,24464.332286
-3.967184,9,24515.405615
-3.096761,7,24555.680113
-2.713074,7,24595.176377
-2.696827,7,24634.289116
-2.709775,7,24674.027501
-2.705383,7,24715.590084
-3.09868,8,24762.357198
-2.579455,7,24803.006819
-2.727313,7,24844.384722
-2.734472,7,24889.323229
-4.750187,10,24944.53399
-3.325986,7,24985.414835
-3.338606,7,25025.177871
-3.162466,7,25065.714134
-2.851759,7,25106.713049
-2.83316,7,25147.94468
-2.795194,7,25186.471291
-2.807812,7,25225.999029
-2.815864,7,25266.850008
-2.799874,7,25306.494824
-2.836915,7,25347.549587
-2.941755,7,25388.865991
-2.712761,7,25431.246066
-2.71572,7,25479.948096
-2.703911,7,25517.337972
-2.70844,7,25556.051013
-2.730054,7,25595.888058
-2.869344,7,25634.738144
-2.739249,7,25673.34733
-2.746604,7,25712.634534
-2.725264,7,25750.784871
-2.702281,7,25790.048524
-2.723764,7,25828.298242
-2.729199,7,25867.743271
-2.721952,7,25905.556924
-2.72595,7,25946.358754
-2.724943,7,25985.612187
-2.744488,7,26025.534454
-2.740422,7,26069.025125
-2.748526,7,26110.082653
-2.751615,7,26150.168455
-3.532846,9,26200.119414
-2.719116,7,26239.102332
-2.750276,7,26277.616282
-2.750131,7,26315.701282
-2.931412,7,26355.793345
-2.720781,7,26396.23779
-2.727676,7,26434.625204
-2.73099,7,26474.60487
-2.744178,7,26515.09372
-1.819891,5,26544.057102
-1.814981,5,26571.611221
-1.806349,5,26600.589971
-1.561008,5,26630.858324
-3.089147,7,26673.142428
-2.736418,7,26715.991922
-2.741673,7,26754.506764
-2.728115,7,26792.19919
-2.733513,7,26831.790179
-2.732337,7,26870.361322
-2.714393,7,26908.258155
-2.715853,7,26947.207531
-2.732337,7,26986.812157
-2.746199,7,27025.774138
-2.753586,7,27065.982755
-2.730372,7,27104.654773
-3.226587,7,27143.885508
-2.744636,7,27182.609491
-2.758667,7,27221.635084
-2.950312,7,27261.896961
-2.805592,7,27308.991264
-2.730432,7,27347.250971
-2.745911,7,27386.385502
-2.748411,7,27427.060781
-2.745381,7,27466.045954
-2.749026,7,27503.564392
-2.737401,7,27542.395715
-2.742634,7,27580.718307
-2.75076,7,27622.037041
-2.746818,7,27661.464153
-3.258368,8,27707.638244
-3.344078,7,27746.991889
-3.810861,8,27794.037315
-4.741832,10,27852.920826
-3.802851,8,27902.206986
-4.77479,10,27956.592462
-3.744961,8,28003.957345
-3.322252,7,28042.289964
-3.815169,8,28088.572362
-3.3329,7,28126.322971
-3.793335,8,28170.213619
-3.818497,8,28215.118351
-3.812046,8,28260.716473
-4.698775,10,28316.528655
-2.737033,7,28355.448896
-2.746423,7,28392.338423
-2.752326,7,28434.410402
-3.040076,7,28477.442676
-2.74446,7,28519.878489
-2.959572,8,28563.736856
-2.756355,7,28603.766639
-2.750911,7,28642.137865
-2.750908,7,28680.785003
-2.708083,7,28719.571792
-2.741937,7,28756.778878
-2.745049,7,28796.129767
-2.823607,7,28835.467423
-3.456083,8,28877.939322
-2.732452,7,28914.870242
-2.759878,7,28954.677592
-15.810304,36,29160.646393
-4.794277,10,29217.382024
-4.262138,9,29265.941
-3.649873,9,29314.614559
-3.659185,9,29363.757289
-4.196186,10,29420.083586
-5.769599,12,29485.222115
-4.187067,9,29532.621958
-3.31013,8,29578.057997
-2.729229,7,29618.225109
-2.736759,7,29659.414643
-2.741334,7,29702.376861
-2.746021,7,29745.820271
-2.746341,7,29784.788653
-2.751632,7,29824.645467
-2.651896,7,29866.431674
-2.726681,7,29906.467197
-2.732065,7,29944.554807
-2.749259,7,29986.544184
-2.983884,7,30024.769138
-2.729675,7,30062.416836
-2.749596,7,30100.601111
-2.73138,7,30138.232846
-2.73252,7,30176.92468
-2.723085,7,30216.801069
-2.719656,7,30258.405156
-2.699784,7,30299.986205
-3.377031,8,30346.63571
-5.778635,12,30412.13887
-3.84575,8,30456.277349
-3.810033,8,30502.981679
-4.314601,9,30551.431626
-4.28259,9,30599.838114
-3.807294,8,30643.601208
-3.80514,8,30687.94228
-3.834608,8,30731.909348
-3.830581,8,30777.725065
-3.888295,9,30827.086943
-2.733282,7,30869.138153
-2.736267,7,30917.926011
-1.145688,5,30945.130538
-3.207057,8,30988.947213
-3.213109,8,31033.247449
-3.200922,8,31076.497063
-3.213109,8,31120.797897
-3.187653,8,31163.449759
-3.198446,8,31207.798352
-3.881955,9,31257.461908
-2.73546,7,31296.744741
-2.751375,7,31335.574708
-2.746707,7,31375.481163
-3.097218,8,31420.046393
-3.128836,8,31464.302443
-0.506809,5,31494.895468
-2.754689,8,31545.975423
-2.731748,7,31585.231343
-2.722891,7,31623.051859
-2.732435,7,31662.488833
-2.738207,7,31700.914931
-2.720466,7,31739.474591
-1.335815,7,31778.580356
-2.748106,7,31816.84315
-2.706941,7,31856.758074
-2.749879,7,31895.599088
-3.631098,9,31947.295654
-4.77469,10,32005.449017
-4.293983,9,32056.156218
-2.363014,5,32086.206713
-2.367045,5,32118.463583
-2.357669,5,32147.912119
-2.370174,5,32175.104054
-2.366347,5,32202.850866
-2.020912,5,32230.772356
-1.817407,5,32260.009646
-1.80894,5,32287.959625
-1.806592,5,32316.004708
-1.810951,5,32344.970436
-1.802273,5,32374.509287
-2.219322,6,32407.585914
-2.432618,7,32446.255106
-2.186563,6,32479.860195
-1.828307,5,32507.172188
-2.998686,7,32548.62958
-3.811645,8,32594.193792
-4.208888,9,32643.598668
-2.72509,7,32683.882028
-2.833191,8,32735.848489
-5.206797,11,32796.897229
-4.776175,10,32853.563572
-4.291653,9,32902.563655
-6.17088,13,32976.269196
-3.790973,8,33020.582433
-1.817696,5,33048.59286
-3.803869,9,33097.522249
-4.183323,9,33146.60869
-2.355026,5,33174.606609
-2.364993,5,33204.402901
-3.263689,7,33242.449747
-3.145974,9,33296.210692
-2.851906,7,33342.571346
-1.808729,5,33371.666198
-1.804409,5,33400.874015
-1.810787,5,33429.541552
-2.107028,6,33462.143371
-1.815434,5,33490.513142
-1.814323,5,33518.158498
-1.819629,5,33547.699231
-1.819629,5,33576.019243
-1.811898,5,33603.453455
-1.81383,5,33631.103857
-2.734038,7,33670.177372
-2.735395,7,33708.184921
-2.739087,7,33746.448706
-2.900708,7,33788.704005
-4.754065,10,33845.350202
-3.327377,7,33887.607819
-3.337235,7,33931.828675
-3.808559,8,33980.40574
-4.746435,10,34035.902072
-4.800028,10,34091.676682
-3.167333,7,34129.462455
-3.244005,7,34169.023121
-1.806507,5,34197.663481
-2.158359,5,34227.691653
-1.77935,5,34255.782797
-1.809472,5,34283.627271
-1.817164,5,34313.09442
-1.820615,5,34341.433552
-1.814622,5,34368.70329
-1.812015,5,34399.535946
-1.866084,5,34427.568857
-2.034974,5,34457.572901
-1.801365,5,34488.777095
-1.824198,5,34517.743598
-1.815882,5,34554.138352
-2.172719,5,34583.116548
-2.91574,8,34629.464404
-1.819629,5,34657.876415
-1.804495,5,34688.599599
