#{"t_start": 1614890034.0310314, "env_id": null}
-1.810537,5,34719.073136
-1.570377,5,34747.641078
-1.81128,5,34775.438244
-1.806881,5,34803.65272
-1.809801,5,34830.68184
-1.817407,5,34861.797038
-1.819629,5,34890.969833
-1.818643,5,34919.790833
-1.91661,5,34948.090025
-2.036085,5,34978.161366
-1.823949,5,35008.017652
-1.798312,5,35037.570085
-1.822549,5,35069.069328
-1.815395,5,35099.056822
-1.820615,5,35129.911202
-1.824771,5,35165.903106
-1.818604,5,35195.47664
-1.823495,5,35222.743899
-1.824114,5,35249.738328
-1.824692,5,35276.761245
-1.819668,5,35306.066701
-1.820005,5,35334.367352
-1.79606,5,35363.468961
-1.787053,5,35390.898514
-2.100353,5,35419.166959
-1.810951,5,35447.014447
-1.396989,6,35481.379138
-1.817407,5,35510.968242
-1.811647,5,35539.261821
-1.817407,5,35565.813305
-1.824606,5,35592.843179
-1.828307,5,35620.402169
-1.826664,5,35650.790651
-1.56766,5,35680.94748
-1.812265,5,35714.119104
-1.81531,5,35748.129698
-1.81984,5,35776.923402
-1.817493,5,35803.868316
-1.826828,5,35831.88296
-1.828307,5,35859.747842
-1.825514,5,35886.313765
-1.852344,5,35914.686033
-2.361003,5,35942.769043
-2.256119,5,35971.970167
-1.813173,5,35999.678255
-2.164074,5,36027.475338
-1.818807,5,36056.027487
-1.819175,5,36084.004809
-2.375026,5,36114.419116
-2.846317,6,36149.257411
-2.371035,5,36177.246844
-2.3617,5,36206.992805
-2.021162,5,36236.989832
-2.225632,6,36271.60219
-1.824974,5,36304.131142
-1.826993,5,36332.598412
-1.819175,5,36366.37728
-1.822555,5,36393.011971
-1.818886,5,36422.598247
-2.985799,8,36469.326202
-1.816092,5,36497.482921
-3.492949,9,36547.317782
-2.303011,5,36575.025367
-2.304733,5,36604.219207
-2.306955,5,36634.252276
-2.308723,5,36664.105887
-2.300256,5,36691.786116
-2.126052,5,36720.48427
-1.70108,5,36749.691192
-1.82366,5,36777.620034
-1.818518,5,36806.429952
-1.811937,5,36833.585283
-1.814731,5,36862.431854
-2.375026,5,36896.068049
-2.365111,5,36928.08133
-2.363225,5,36960.181264
-2.366347,5,36989.680362
-2.372803,5,37018.781209
-2.853515,6,37052.286025
-2.366926,5,37080.101489
-2.373711,5,37109.019417
-2.374368,5,37137.543949
-2.3654,5,37166.961328
-2.370213,5,37195.462223
-2.359477,5,37224.495871
-2.368038,5,37251.651253
-2.364,5,37280.681071
-2.361121,5,37307.717097
-2.36947,5,37336.311871
-2.375026,5,37365.429861
-2.375026,5,37393.512791
-2.372803,5,37425.480845
-2.02531,5,37452.976332
-1.822752,5,37481.715559
-1.828307,5,37512.729737
-1.798125,5,37541.279478
-1.818072,5,37575.557969
-1.809637,5,37605.728238
-2.126022,6,37639.61438
-1.807618,5,37666.901528
-1.811937,5,37694.825828
-1.817775,5,37723.733819
-1.820043,5,37752.018185
-2.707413,7,37792.561877
-1.817164,5,37820.210473
-1.811937,5,37848.395044
-1.813173,5,37875.261691
-2.063949,6,37909.333026
-1.817203,5,37940.1347
-1.865178,5,37967.721816
-1.72791,5,37996.314777
-1.817407,5,38026.651298
-1.809018,5,38055.518063
-1.812187,5,38083.238289
-1.817407,5,38112.752034
-2.364336,5,38142.041375
-2.361535,5,38174.235142
-2.364336,5,38202.154192
-2.358818,5,38228.741336
-2.361535,5,38260.021894
-2.36947,5,38288.482681
-1.81391,5,38317.075733
-2.160122,5,38346.753879
-1.762179,5,38374.842126
-1.824692,5,38402.52264
-1.821029,5,38429.623979
-1.824442,5,38459.121801
-1.820983,5,38487.599219
-1.81506,5,38517.388314
-1.826085,5,38545.40388
-1.817196,5,38574.412589
-1.826007,5,38602.061508
-1.828307,5,38633.635912
-1.828307,5,38661.547391
-1.816421,5,38690.315827
-1.815717,5,38719.553964
-2.042667,5,38749.374137
-1.821108,5,38783.442329
-1.822752,5,38812.239986
-1.824771,5,38839.943692
-1.818682,5,38870.203693
-2.28585,6,38904.484696
-2.249626,6,38938.052621
-1.816296,5,38965.23874
-1.813791,5,38992.180478
-1.821851,5,39020.282436
-1.862665,5,39051.213585
-2.370213,5,39082.027873
-2.367459,5,39109.558903
-2.365361,5,39137.866517
-2.367334,5,39166.310606
-2.370096,5,39194.7838
-2.373711,5,39223.731189
-2.358656,5,39252.412043
-2.363014,5,39279.379238
-2.360464,5,39308.342901
-2.366597,5,39340.90807
-2.247538,5,39373.622809
-1.826828,5,39404.629495
-1.826007,5,39432.595026
-1.821897,5,39459.76188
-1.812015,5,39488.877413
-1.823126,5,39517.741708
-1.828569,5,39546.36833
-1.828307,5,39576.471541
-1.828307,5,39605.460848
-1.823705,5,39633.720705
-1.814941,5,39661.365955
-1.816953,5,39689.317042
-1.828307,5,39718.829305
-1.81391,5,39749.466433
-1.824974,5,39778.559758
-1.817243,5,39808.419019
-1.820654,5,39837.313613
-2.161324,5,39864.250837
-2.367827,5,39893.971138
-2.362357,5,39922.905593
-1.810951,5,39956.554427
-1.813048,5,39987.735803
-1.817407,5,40016.204899
-1.819629,5,40044.651189
-1.669854,5,40073.33008
-1.822877,5,40100.607973
-1.822752,5,40129.283615
-1.815639,5,40156.826242
-1.816625,5,40186.931127
-1.822752,5,40216.014475
-2.163546,5,40246.561291
-2.368859,5,40276.134277
-2.367004,5,40303.573659
-2.375026,5,40332.015687
-2.264021,5,40359.919511
-1.816296,5,40387.713134
-1.826335,5,40414.729792
-2.116966,5,40445.809489
-1.813173,5,40473.171046
-2.760425,7,40514.994925
-1.819629,5,40542.222309
-1.817986,5,40574.949202
-1.816343,5,40608.277102
-1.815928,5,40636.474816
-2.702743,8,40682.397462
-1.816671,5,40710.969067
-1.818315,5,40740.065525
-1.814074,5,40767.816241
-1.816013,5,40795.222078
-2.00857,5,40823.595263
-2.370667,5,40853.18626
-2.375026,5,40881.982507
-2.364454,5,40910.89528
-2.358983,5,40938.952965
-2.364743,5,40965.844753
-2.371692,5,40994.443393
-2.364823,5,41021.934509
-2.364993,5,41051.315633
-2.363914,5,41078.496969
-2.375026,5,41111.171462
-2.263647,5,41140.58062
-2.364336,5,41173.057473
-2.363014,5,41204.728229
-2.845403,6,41238.845615
-2.371692,5,41267.751054
-2.374039,5,41297.398441
-2.372232,5,41326.10184
-3.180069,7,41366.430856
-2.375026,5,41395.210395
-2.375026,5,41424.554273
-2.375026,5,41452.242072
-2.375026,5,41480.941694
-2.373546,5,41508.759552
-2.171483,5,41537.249328
-1.818643,5,41567.838758
-1.820615,5,41597.151368
-1.81959,5,41627.317148
-1.813417,5,41657.470617
-1.824606,5,41685.933256
-1.826993,5,41714.76185
-1.810951,5,41745.434321
-2.148326,5,41777.711836
-2.367499,5,41811.017158
-2.366386,5,41841.799924
-2.311709,5,41872.41942
-2.364164,5,41900.073328
-2.36565,5,41928.248097
-2.361864,5,41956.723095
-2.360753,5,41984.561233
-2.36688,5,42014.445012
-2.373546,5,42042.968374
-3.353099,8,42087.04087
-1.819629,5,42116.516518
-1.822674,5,42146.046697
-1.8588,5,42174.38599
-2.362357,5,42203.869865
-2.174974,5,42230.883895
-1.926854,5,42260.298356
-1.914638,5,42288.520036
-2.363139,5,42319.770169
-2.369845,5,42349.974028
-2.375026,5,42382.867347
-2.373382,5,42414.797255
-2.317598,5,42443.565697
-1.810951,5,42472.169008
-1.811851,5,42499.754333
-1.810051,5,42527.611771
-1.809597,5,42556.10545
-1.80894,5,42583.183141
-1.80124,5,42612.441169
-1.817407,5,42640.434819
-1.815356,5,42667.820417
-1.814284,5,42696.639341
-1.814198,5,42725.424992
-1.816585,5,42753.680443
-3.187942,8,42799.412349
-1.81675,5,42828.379023
-1.814159,5,42857.751083
-1.813173,5,42885.190798
-1.817407,5,42913.454762
-1.817164,5,42945.482203
-1.820451,5,42978.538179
-1.828307,5,43014.565446
-1.826664,5,43042.517071
-1.826664,5,43071.418137
-1.828307,5,43099.474312
-1.828307,5,43128.629809
-2.059202,5,43156.351281
-1.818189,5,43183.838927
-1.814074,5,43211.008007
-1.823456,5,43239.038797
-1.817196,5,43266.879638
-1.819418,5,43296.287784
-1.826993,5,43324.334069
-1.823331,5,43353.859872
-1.824974,5,43383.296859
-1.819465,5,43411.83507
-1.857859,6,43445.044768
-2.367373,5,43477.485917
-2.859918,6,43510.963806
-2.363139,5,43544.003962
-2.372146,5,43575.035485
-2.371035,5,43608.787552
-2.372725,5,43640.007384
-2.37256,5,43667.222709
-2.373053,5,43695.042377
-2.36688,5,43722.550717
-1.822752,5,43752.603333
-1.828307,5,43781.208998
-1.819629,5,43810.41015
-1.820286,5,43840.168906
-2.36947,5,43869.023357
-2.372725,5,43898.000225
-2.364125,5,43925.730079
-2.36972,5,43953.170911
-2.362435,5,43981.830636
-2.366308,5,44009.713916
-2.372067,5,44038.814927
-2.843375,6,44074.922409
-2.371238,5,44104.69402
-1.813384,5,44135.61162
-1.810583,5,44165.323539
-2.16383,5,44198.052036
-1.821194,5,44230.777422
-1.810951,5,44260.379182
-1.808729,5,44289.043401
-2.147669,5,44318.076056
-1.809472,5,44347.379643
-1.812962,5,44376.687001
-1.802273,5,44406.941289
-1.803916,5,44434.673965
-1.809386,5,44463.289961
-1.816671,5,44491.951354
-1.815928,5,44521.018446
-1.816013,5,44549.843023
-1.812641,5,44578.10678
-1.802273,5,44607.10804
-1.807039,5,44635.680482
-1.822344,5,44665.783858
-1.81391,5,44692.712901
-1.816507,5,44721.21742
-1.823863,5,44752.857839
-1.826664,5,44783.66921
-2.025026,5,44815.846456
-2.373711,5,44846.613263
-2.359642,5,44875.799539
-2.364907,5,44905.911489
-2.364,5,44933.998365
-2.362877,5,44961.995912
-2.364211,5,44990.545454
-2.371692,5,45019.578048
-2.371692,5,45047.088058
-2.372803,5,45076.663185
-2.372067,5,45103.693662
-2.368359,5,45134.115708
-2.364868,5,45163.919404
-2.366347,5,45192.114176
-2.169629,5,45220.993484
-1.815271,5,45249.33805
-1.824974,5,45280.308505
-1.735898,5,45308.586474
-1.814074,5,45339.044893
-1.821108,5,45370.767874
-1.819629,5,45404.210777
-1.820043,5,45436.199001
-1.81124,5,45463.707991
-2.116106,5,45491.788392
-1.80894,5,45518.990942
-1.806218,5,45548.915467
-1.812962,5,45577.208355
-1.811648,5,45605.484152
-1.805974,5,45633.407824
-1.80268,5,45661.121159
-1.817407,5,45689.825521
-1.819629,5,45720.312562
-1.816343,5,45751.392627
-2.265659,6,45787.647302
-1.810294,5,45816.730101
-1.917761,5,45846.257385
-2.375026,5,45877.065761
-2.360628,5,45906.467115
-2.366137,5,45936.908698
-2.362278,5,45967.553785
-2.364125,5,45997.698741
-2.375026,5,46042.771017
-2.365322,5,46071.385722
-2.368695,5,46098.923122
-2.370706,5,46128.371869
-2.036336,5,46157.296044
-1.826007,5,46187.092996
-0.918456,6,46222.987894
-2.061502,5,46251.443501
-1.824442,5,46280.825952
-1.823001,5,46308.92477
-1.825349,5,46336.66205
-1.826664,5,46365.755197
-1.822838,5,46393.010255
-1.811937,5,46420.013353
-3.150158,8,46465.089197
-1.82765,5,46491.557756
-1.814074,5,46518.448062
-1.821687,5,46548.247274
-1.828307,5,46579.609219
-2.174855,5,46610.950993
-1.822962,5,46644.349731
-1.824974,5,46674.33524
-1.828307,5,46702.22894
-1.828307,5,46731.3043
-1.828307,5,46759.913331
-1.818064,5,46789.261165
-1.817407,5,46817.594831
-3.143965,8,46863.352168
-1.826664,5,46892.189399
-2.371692,5,46920.487389
-2.370917,5,46948.591107
-2.367004,5,46978.502831
-2.374039,5,47005.978367
-2.375026,5,47035.343045
-1.828307,5,47067.396382
-2.261595,5,47094.20054
-1.814159,5,47122.645084
-1.817657,5,47152.38614
-1.819629,5,47183.481425
-1.819629,5,47217.444025
-1.817986,5,47247.774746
-2.010878,5,47275.462591
-2.36947,5,47307.180308
-2.375026,5,47335.214147
-2.370667,5,47364.616215
-2.36569,5,47393.716692
-2.364657,5,47423.453667
-2.170904,5,47452.092335
-1.818972,5,47480.514021
-1.82765,5,47508.651976
-1.828307,5,47535.674371
-1.821438,5,47564.415421
-1.81531,5,47591.902714
-1.826085,5,47619.072573
-1.815639,5,47647.360323
-1.818972,5,47676.203382
-1.813087,5,47703.601592
-1.820451,5,47731.14431
-1.369229,5,47760.910139
-1.861805,5,47793.669632
-2.360095,5,47824.04768
-2.360338,5,47861.33112
-2.375026,5,47889.007122
-2.26723,5,47916.728014
-1.916117,5,47945.657644
-1.811115,5,47973.155653
-1.812351,5,48002.294434
-1.819629,5,48030.591414
-1.809676,5,48058.101462
-1.815764,5,48087.825437
-1.819629,5,48117.27491
-1.813384,5,48145.786404
-1.803259,5,48174.15638
-1.763206,5,48201.588097
-1.572853,6,48236.146987
-1.813462,5,48265.089421
-1.815928,5,48299.307286
-1.80725,5,48326.956078
-1.814403,5,48360.140756
-1.821483,5,48388.235376
-1.855677,5,48422.215218
-2.365267,5,48454.208299
-2.364451,5,48483.578987
-2.343271,5,48511.977773
-2.804349,6,48546.353828
-2.363014,5,48575.239148
-2.36878,5,48604.013738
-2.364493,5,48631.784569
-2.844531,6,48664.378851
-2.366347,5,48691.29235
-2.367827,5,48718.573215
-2.367991,5,48747.436628
-2.371903,5,48776.509176
-2.370706,5,48803.318642
-2.853016,6,48839.482327
-2.375026,5,48870.194021
-2.362114,5,48899.824068
-2.360792,5,48930.099875
-1.816296,5,48958.617218
-1.818104,5,48989.146346
-1.815639,5,49019.068669
-1.814284,5,49050.608367
-1.81531,5,49081.72197
-1.820286,5,49111.235731
-1.828307,5,49140.592657
-1.828307,5,49169.655641
-1.828307,5,49197.40607
-1.920562,5,49224.726108
-2.374696,5,49253.015659
-2.382717,5,49281.472506
-2.376031,5,49312.369732
-2.383047,5,49341.869926
-2.380745,5,49370.795981
-2.371935,5,49398.45102
-2.36857,5,49426.849192
-2.35878,5,49455.04386
-2.373711,5,49484.180598
-2.371574,5,49511.453255
-2.364125,5,49538.762508
-2.373053,5,49567.688362
-2.367991,5,49598.798044
-2.374368,5,49630.086998
-2.368609,5,49662.538311
-2.372146,5,49690.811903
-2.375026,5,49719.42899
-2.178307,5,49751.032988
-1.826085,5,49779.638763
-1.825428,5,49807.611187
-2.256855,6,49840.719271
-1.818761,5,49869.631896
-1.826335,5,49897.677938
-1.8697,5,49927.228694
-2.371081,5,49955.914133
-2.367991,5,49986.960903
-2.375026,5,50017.019801
-2.375026,5,50044.735374
-2.374368,5,50075.879756
-2.366347,5,50106.648874
-2.366104,5,50136.430514
-2.369392,5,50163.987086
-2.36857,5,50195.057777
-2.371903,5,50224.707255
-2.375026,5,50255.86046
-2.363507,5,50287.245135
-2.850826,6,50320.024534
-2.366716,5,50347.538663
-2.3654,5,50375.731341
-2.363225,5,50403.030479
-2.36548,5,50431.746552
-2.830422,6,50465.509641
-2.361003,5,50493.537975
-2.362646,5,50520.403185
-2.364336,5,50549.442207
-2.392653,6,50583.393888
-1.816296,5,50613.070727
-1.821272,5,50640.280678
-1.828307,5,50669.945139
-1.810951,5,50701.308845
-1.810129,5,50730.409684
-1.81531,5,50759.08758
-2.098459,6,50796.707407
-1.817164,5,50825.778929
-1.824528,5,50863.551553
-1.81675,5,50892.249657
-1.815185,5,50921.927835
-1.559756,6,50955.837911
-1.811076,5,50986.506754
-1.965079,5,51014.60449
-1.813251,5,51041.594744
-1.825428,5,51070.545113
-1.823863,5,51099.623702
-1.828307,5,51128.167482
-1.822962,5,51156.29306
-1.824198,5,51186.092892
-1.820286,5,51215.209326
-1.811608,5,51243.842304
-1.79894,5,51271.73434
-1.807039,5,51301.485342
-1.814816,5,51331.114344
-1.821765,5,51358.432995
-1.816625,5,51390.657388
-1.812962,5,51420.389868
-1.817329,5,51452.566219
-1.810333,5,51484.250155
-1.814653,5,51511.956038
-1.810787,5,51541.148342
-1.804573,5,51571.459894
-1.812594,5,51600.483595
-1.80692,5,51626.985317
-1.811976,5,51656.228975
-1.815027,5,51684.014959
-2.122319,5,51713.333833
-1.805606,5,51742.402798
-1.806218,5,51771.717959
-2.011449,5,51802.315724
-2.266433,6,51835.449548
-1.814284,5,51863.861916
-1.809472,5,51892.083914
-1.813087,5,51919.102432
-2.157045,5,51946.726667
-2.367004,5,51974.108551
-2.363961,5,52007.492997
-2.365525,5,52039.051111
-2.364166,5,52074.517927
-2.368359,5,52103.880462
-2.369102,5,52131.786613
-2.370831,5,52158.127899
-2.357499,5,52188.015131
-2.367045,5,52216.282299
-2.03164,5,52244.48154
-1.825021,5,52272.477692
-1.812594,5,52299.130416
-2.843523,8,52343.670644
-1.826664,5,52372.875518
-1.819629,5,52402.493037
-1.744983,5,52431.72577
-1.790262,5,52459.262554
-1.794909,5,52486.856572
-1.810294,5,52516.777292
-1.803298,5,52546.201566
-1.80898,5,52575.702973
-2.255637,6,52615.802318
-1.806304,5,52647.625709
-1.801616,5,52682.858846
-1.806349,5,52710.007453
-1.913073,5,52738.346819
-2.370667,5,52767.815307
-2.14183,5,52797.331755
-2.860469,6,52834.85193
-2.812317,6,52869.897148
-2.358983,5,52898.295884
-2.375026,5,52929.235026
-2.373711,5,52957.75775
-2.357669,5,52985.163947
-2.357669,5,53015.551996
-2.363796,5,53044.456937
-2.26723,5,53071.832651
-2.18694,6,53109.031176
-1.815029,5,53137.665631
-1.819629,5,53166.847564
-1.817493,5,53198.011252
-1.817407,5,53232.280288
-1.818315,5,53270.261866
-1.803916,5,53302.999126
-3.014109,8,53349.157462
-1.806547,5,53379.067396
-1.79894,5,53406.776381
-1.915907,5,53435.149724
-2.35878,5,53463.595409
-2.362435,5,53492.119208
-2.371692,5,53521.083616
-2.368813,5,53550.227386
-2.330839,5,53578.710693
-1.820615,5,53607.540776
-1.82366,5,53636.006792
-1.828307,5,53666.15546
-1.828307,5,53696.799635
-1.815514,5,53727.439962
-1.820983,5,53754.972334
-1.82765,5,53784.371655
-1.822752,5,53814.255079
-1.826828,5,53847.712649
-1.929365,5,53881.824333
-2.364868,5,53910.72874
-2.369517,5,53938.749419
-2.371324,5,53968.693672
-2.375026,5,53997.422985
-2.375026,5,54028.47297
-2.375026,5,54058.539867
-2.370213,5,54086.104187
-2.368484,5,54117.217343
-2.368038,5,54146.558237
-2.347121,5,54175.096157
-2.334211,5,54204.541445
-2.367004,5,54232.897388
-2.372803,5,54262.756169
-2.36688,5,54289.399539
-2.375026,5,54320.561163
-2.372725,5,54347.961011
-1.977631,5,54376.373709
-1.806138,5,54407.881233
-1.814074,5,54437.674282
-1.819629,5,54470.596095
-1.799472,5,54506.417511
-1.809965,5,54536.396426
-1.80692,5,54565.279121
-1.81074,5,54595.434531
-1.812594,5,54623.560383
-1.815356,5,54652.634044
-1.550708,6,54686.257837
-1.818643,5,54714.812176
-1.819629,5,54743.262501
-1.824362,5,54772.209977
-1.819629,5,54800.440938
-1.819629,5,54830.136997
-1.81074,5,54859.248287
-1.808854,5,54887.376362
-1.810951,5,54916.771868
-1.808189,5,54945.515726
-1.819629,5,54976.273894
-1.810583,5,55006.499515
-1.809965,5,55036.550619
-1.816296,5,55068.167182
-1.818315,5,55101.753691
-1.811115,5,55129.596565
-1.819629,5,55158.33815
-1.818315,5,55187.042715
-1.810129,5,55214.75166
-1.819629,5,55244.661897
-1.826085,5,55276.007895
-1.815639,5,55304.819321
-1.813173,5,55334.110726
-1.819958,5,55362.928603
-1.822062,5,55391.516231
-1.809472,5,55420.714355
-1.814237,5,55451.30025
-1.828307,5,55481.932512
-1.821976,5,55515.491451
-1.821272,5,55546.313811
-1.820326,5,55573.374214
-1.821108,5,55603.484345
-1.823541,5,55634.153841
-1.825842,5,55667.815529
-1.821535,5,55702.830115
-1.828307,5,55730.430093
-1.823541,5,55759.308826
-1.819629,5,55788.110275
-1.822752,5,55819.32265
-1.828307,5,55848.102975
-1.818932,5,55877.533488
-1.826828,5,55905.156813
-2.356128,5,55934.537482
-1.803259,5,55962.900608
-1.803916,5,55992.205463
-1.81531,5,56020.78632
-1.819629,5,56047.290654
-1.819629,5,56076.997571
-1.814284,5,56106.077531
-1.812805,5,56135.732184
-1.803752,5,56164.392091
-1.819629,5,56193.328137
-1.802148,5,56223.773486
-2.153178,5,56257.616617
-2.368359,5,56287.485105
-2.375026,5,56322.806679
-2.373053,5,56351.170128
-2.135413,5,56381.028588
-2.374368,5,56412.960373
-2.37116,5,56441.218449
-2.367004,5,56471.286394
-2.375026,5,56498.67038
-2.366558,5,56528.788801
-2.363671,5,56560.674827
-2.362676,5,56590.338615
-2.370243,5,56618.778687
-2.366996,5,56647.47966
-2.296475,5,56677.123527
-2.382386,5,56704.844752
-2.011079,5,56735.235175
-2.104346,5,56763.046639
-1.820983,5,56792.352379
-1.812962,5,56827.490515
-1.818643,5,56858.192905
-2.012145,5,56888.237962
-2.235476,5,56921.339752
-1.813744,5,56949.710882
-1.824974,5,56978.667584
-1.828307,5,57007.255786
-1.817368,5,57035.81709
-1.814284,5,57063.540059
-1.828307,5,57093.753216
-1.906201,5,57124.082712
-1.812101,5,57151.457488
-3.045706,8,57195.974457
-3.036821,8,57242.618456
-2.146032,6,57275.647736
-1.823292,5,57302.94797
-1.814284,5,57333.461616
